"country_name","continent_name","wage_span","median_salary","average_salary","lowest_salary","highest_salary","OOSR_Upper_Secondary_Age_Female","OOSR_Upper_Secondary_Age_Male","Completion_Rate_Upper_Secondary_Male","Completion_Rate_Upper_Secondary_Female","Gross_Tertiary_Education_Enrollment","Unemployment_Rate","IS_above_average","Income_gap"
"Mongolia","Asia","Monthly",515.76,564.74,142.34,2509.62,20,22,60,73,65.6,6.01,FALSE,2367.28
"Montenegro","Europe","Monthly",2621.56,2832.98,718.82,12579.28,10,12,83,90,56.1,14.88,TRUE,11860.46
"Montserrat","Caribbean","Monthly",859.26,1011.11,255.56,4481.48,0,0,0,0,0,0,FALSE,4225.92
"Morocco","Africa","Monthly",1634.24,1896.89,477.63,8433.85,30,26,0,0,35.9,9.02,TRUE,7956.22
"Mozambique","Africa","Monthly",549.81,631.27,159.77,2803.88,73,65,8,5,7.3,3.24,FALSE,2644.11
"Myanmar","Asia","Monthly",228.46,260.35,65.68,1156.59,38,47,14,19,18.8,1.58,FALSE,1090.91
"Namibia","Africa","Monthly",821.41,927.4,233.7,4128.25,0,0,33,39,22.9,20.27,FALSE,3894.55
"Nepal","Asia","Monthly",551.13,608.2,153.18,2703.11,13,26,27,28,12.4,1.41,FALSE,2549.93
"Netherlands","Europe","Monthly",4756.87,5179.7,1427.06,22515.86,1,1,0,0,85,3.2,TRUE,21088.8
"New Zealand","Oceania","Monthly",4196.41,4870.06,1227.54,21656.29,1,4,0,0,82,4.07,TRUE,20428.75
"Nicaragua","Central America","Monthly",449.1,517.15,130.38,2299.95,0,0,0,0,17.4,6.84,FALSE,2169.57
"Niger","Africa","Monthly",480.19,547.87,137.93,2433.17,89,84,4,1,4.4,0.47,FALSE,2295.24
"Nigeria","Africa","Monthly",389.85,438.91,110.63,1949.27,0,0,57,44,10.2,8.1,FALSE,1838.64
"Norway","Europe","Monthly",4420.02,4786.34,1208.23,21281.57,7,8,0,0,82,3.35,TRUE,20073.34
